rentree_scolaire;uai;secteur;ips;position;appellation_officielle;libelle_academie;code_departement;libelle_departement;code_commune;libelle_commune
2023-2024;0594640Y;public;82.4;50.94458059613789,2.2003199174355488;Collège Jean Jaurès;Lille;059;Nord;59094;Bourbourg
2023-2024;0622095R;public;79.1;50.70825662279591,1.5844998448274454;Collège Jean Moulin;Lille;062;Pas-de-Calais;62667;Le Portel
2023-2024;0593182N;public;97.7;51.0188532063078,2.3750902211911415;Collège Jules Ferry;Lille;059;Nord;59155;Coudekerque-Branche
2023-2024;0622261W;public;79.0;50.27639042933437,2.2847005068762374;Collège Pierre Cuallacci;Lille;062;Pas-de-Calais;62361;Frévent
2023-2024;0593991T;public;121.8;50.58997542740828,3.1108169574698388;Collège Théodore Monod;Lille;059;Nord;59343;Lesquin
2023-2024;0594527A;public;100.1;50.72121768277546,3.082558159159032;Collège Maxence Van Der Meersch;Lille;059;Nord;59421;Mouvaux
2023-2024;0595399Y;privé sous contrat;105.9;50.276791021567234,3.9759099873260664;Collège privé Notre-Dame de Grâce;Lille;059;Nord;59392;Maubeuge
2023-2024;0622083C;public;113.6;50.288241617039034,2.7694352093198478;Collège Jehan Bodel;Lille;062;Pas-de-Calais;62041;Arras
2023-2024;0620079Z;public;79.2;50.47042647481198,2.4967699897743376;Collège Henri Wallon;Lille;062;Pas-de-Calais;62270;Divion
2023-2024;0623022Y;public;87.7;50.48562923086735,2.744179633314748;Collège Paul Eluard;Lille;062;Pas-de-Calais;62846;Vermelles
2023-2024;0594833H;privé sous contrat;111.3;50.750649636366525,3.1550201614689817;Collège privé Saint Joseph;Lille;059;Nord;59426;Neuville-en-Ferrain
2023-2024;0593474F;public;109.8;50.680405802996674,3.0678305726762205;Collège Professeur Albert Debeyre;Lille;059;Nord;59386;Marquette-lez-Lille
2023-2024;0592962Z;privé sous contrat;91.5;50.32233907825513,3.3820998025813425;Collège privé Jean Paul II;Lille;059;Nord;59172;Denain
2023-2024;0593251N;public;97.0;50.41353020793823,3.108330457286914;Collège Docteur Ernest Schaffner;Lille;059;Nord;59509;Roost-Warendin
2023-2024;0624343J;privé sous contrat;116.3;50.29440608237028,2.766420307606159;Collège privé Saint Vincent;Lille;062;Pas-de-Calais;62041;Arras
2023-2024;0597055Y;privé sous contrat;111.3;50.338378074987375,3.281920627015369;Collège privé Notre-Dame de la Renaissance;Lille;059;Nord;59574;Somain
2023-2024;0620004T;public;94.2;50.85129259607474,1.9758702718799537;Collège de L'Europe;Lille;062;Pas-de-Calais;62038;Ardres
2023-2024;0622128B;privé sous contrat;112.9;50.40462040664378,1.5618196929804524;Collège privé Notre-Dame;Lille;062;Pas-de-Calais;62108;Berck
2023-2024;0595712N;public;89.6;50.99529548371293,2.109440545763145;Collège Jean Monnet;Lille;059;Nord;59272;Grand-Fort-Philippe
2023-2024;0590050J;public;71.9;50.4584602905091,3.585310527359675;Collège Josquin des Prés;Lille;059;Nord;59153;Condé-sur-l'Escaut
2023-2024;0593673X;public;89.8;50.32898461946876,3.5209795152110686;Collège Madame d'Epinay;Lille;059;Nord;59032;Aulnoy-lez-Valenciennes
2023-2024;0596833G;public;81.5;50.624217470059136,3.0443905646572866;Collège Nina Simone;Lille;059;Nord;59350;Lille
