rentree_scolaire;uai;secteur;ips_voie_gt;ips_voie_pro;ips_ensemble_gt_pro;position;appellation_officielle;libelle_academie;code_departement;libelle_departement;code_commune;libelle_commune
2023-2024;0592963A;privé sous contrat;97.3;95.6;96.4;50.6870188739175,3.1710495972452684;Lycée polyvalent privé Saint Martin;Lille;059;Nord;59512;Roubaix
2023-2024;0593141U;privé sous contrat;131.0;;131.0;50.35911964455129,3.5300995644256346;Lycée général privé Notre-Dame;Lille;059;Nord;59606;Valenciennes
2023-2024;0620166U;public;104.8;;104.8;50.38568565435221,2.3455396752654427;Lycée général et technologique Albert Châtelet;Lille;062;Pas-de-Calais;62767;Saint-Pol-sur-Ternoise
2023-2024;0620189U;public;;79.8;79.8;50.95670366866296,1.8360201778438683;Lycée professionnel Pierre de Coubertin;Lille;062;Pas-de-Calais;62193;Calais
2023-2024;0622276M;public;104.3;83.3;98.7;50.39813402623474,1.5594971419606591;Lycée polyvalent Jan Lavezzari;Lille;062;Pas-de-Calais;62108;Berck
2023-2024;0590086Y;public;126.7;;126.7;50.54304663676516,2.9810103905678043;Lycée général et technologique Marguerite de Flandre;Lille;059;Nord;59266;Gondecourt
2023-2024;0620140R;public;108.1;82.4;103.6;50.464631379622155,1.765839776882543;Lycée polyvalent Eugène Woillez;Lille;062;Pas-de-Calais;62588;Montreuil-sur-Mer
2023-2024;0592611T;public;;76.7;76.7;50.1611528566526,3.2646595829163867;Lycée professionnel Louis Blériot;Lille;059;Nord;59122;Cambrai
2023-2024;0620063G;public;102.7;;102.7;50.946620266863945,1.843350109781972;Lycée Général et Technologique Sophie Berthelot;Lille;062;Pas-de-Calais;62193;Calais
2023-2024;0590072H;public;93.0;81.3;93.0;51.018125652660665,2.354729312970334;Lycée général et technologique de l'Europe;Lille;059;Nord;59183;Dunkerque
2023-2024;0596681S;privé sous contrat;110.2;;110.2;50.61397311781983,3.053500423781729;Ecole Générale et Technologique privée hors contrat Averroes;Lille;059;Nord;59350;Lille
2023-2024;0624430D;public;112.0;;112.0;50.28847161491862,2.7768295199204083;Lycée général et technologique Gambetta Carnot;Lille;062;Pas-de-Calais;62041;Arras
2023-2024;0590071G;public;106.7;;106.7;51.036868994286124,2.384053598737123;Lycée général et technologique Jean Bart;Lille;059;Nord;59183;Dunkerque
2023-2024;0594400M;public;;79.0;79.0;50.998362673395654,2.3017994777256736;Lycée professionnel Automobile et Transports;Lille;059;Nord;59271;Grande-Synthe
2023-2024;0620124Y;public;;74.8;74.8;50.709088307572785,2.131740459302725;Lycée professionnel Bernard Chochoy;Lille;062;Pas-de-Calais;62534;Lumbres
2023-2024;0623981R;public;110.3;84.5;104.6;50.63430583286731,2.4067205690970175;Lycée polyvalent Vauban;Lille;062;Pas-de-Calais;62014;Aire-sur-la-Lys
2023-2024;0593007Y;privé sous contrat;138.4;;138.4;50.63952680403839,3.086722423844717;Lycée général et technologique privé Frédéric Ozanam - Lycée des Métiers de la Construction de l'Environnement et des Energies;Lille;059;Nord;59350;Lille
2023-2024;0590282L;public;87.9;;87.9;50.32257843331871,3.3969977895268713;Lycée général et technologique Jules Mousseron;Lille;059;Nord;59172;Denain
2023-2024;0590207E;public;100.6;;100.6;50.34945080014521,3.2830501908910894;Lycée général et technologique Louis Pasteur;Lille;059;Nord;59574;Somain
2023-2024;0590255G;public;;81.8;81.8;51.0430361417617,2.3797162971030468;Lycée professionnel Guy Debeyre;Lille;059;Nord;59183;Dunkerque
2023-2024;0590064Z;public;102.4;;102.4;50.37451372192315,3.0786206356480013;Lycée général et technologique Jean-Baptiste Corot;Lille;059;Nord;59178;Douai
2023-2024;0620017G;public;85.9;;85.9;50.50703541195921,2.4761693733313406;Lycée général et technologique Lavoisier;Lille;062;Pas-de-Calais;62048;Auchel
2023-2024;0620256S;public;105.4;70.0;104.7;50.27997801430588,2.7945556871546717;Lycée polyvalent Guy Mollet;Lille;062;Pas-de-Calais;62041;Arras
2023-2024;0590102R;public;;83.3;83.3;50.73117704127288,2.5290609979501575;Lycée Professionnel des Monts de Flandre;Lille;059;Nord;59295;Hazebrouck
2023-2024;0592973L;privé sous contrat;;91.5;91.5;50.697307396122326,3.173999399471153;Lycée professionnel privé Saint François d'Assise;Lille;059;Nord;59512;Roubaix
2023-2024;0596925G;public;132.1;101.9;129.9;50.52269734088659,3.218869763943286;Lycée polyvalent Charlotte Perriand;Lille;059;Nord;59258;Genech
2023-2024;0590042A;public;88.6;72.2;80.9;50.10325869386659,3.5416600633820945;Lycée polyvalent Camille Desmoulins;Lille;059;Nord;59136;Le Cateau-Cambrésis
2023-2024;0592940A;privé sous contrat;131.6;;131.6;50.36960965395435,3.0860735539934394;Lycée général privé Saint Jean;Lille;059;Nord;59178;Douai
2023-2024;0590101P;public;114.0;;114.0;50.73117704127288,2.5290609979501575;Lycée général et technologique des Flandres;Lille;059;Nord;59295;Hazebrouck
2023-2024;0592976P;privé sous contrat;108.4;92.3;96.3;50.371725205123234,3.2789301078023994;Lycée polyvalent privé Hélène Boucher;Lille;059;Nord;59574;Somain
2023-2024;0593113N;privé sous contrat;125.1;;125.1;50.63431236730704,3.0687405437720523;Lycée général privé Sainte Claire;Lille;059;Nord;59350;Lille
2023-2024;0620161N;public;106.6;;106.6;50.74810182528998,2.258739419240545;Lycée général et technologique Alexandre Ribot;Lille;062;Pas-de-Calais;62765;Saint-Omer
2023-2024;0622211S;privé sous contrat;;96.0;96.0;50.94347846804082,1.855120665022083;Lycée professionnel privé Saint-Pierre;Lille;062;Pas-de-Calais;62193;Calais
2023-2024;0595616J;public;91.8;;91.8;51.01063699455482,2.301880513906653;Lycée général et technologique du Noordover;Lille;059;Nord;59271;Grande-Synthe
2023-2024;0620257T;public;;83.0;83.0;50.284322879423684,2.749883658980143;Lycée professionnel Savary - Ferry;Lille;062;Pas-de-Calais;62041;Arras
2023-2024;0592944E;privé sous contrat;145.8;;145.8;50.6283189898316,3.14895941190851;Lycée général privé Saint Adrien La Salle;Lille;059;Nord;59009;Villeneuve-d'Ascq
2023-2024;0593066M;privé sous contrat;;81.8;81.8;50.32276539410598,3.38127981978085;Lycée professionnel privé Jean Paul II;Lille;059;Nord;59172;Denain
2023-2024;0590060V;public;88.6;;88.6;50.33075360996776,3.408960402671094;Lycée général et technologique Alfred Kastler;Lille;059;Nord;59172;Denain
2023-2024;0590263R;public;;79.1;79.1;51.02287563312792,2.3982900617678395;Lycée professionnel Fernand Léger;Lille;059;Nord;59155;Coudekerque-Branche
2023-2024;0592913W;privé sous contrat;133.7;;133.7;50.448819278027024,3.425610694863912;Lycée général privé Notre-Dame des Anges;Lille;059;Nord;59526;Saint-Amand-les-Eaux
2023-2024;0595809U;public;101.9;;101.9;50.36560364478319,3.514151168296665;Lycée général et technologique de l'Escaut;Lille;059;Nord;59606;Valenciennes
2023-2024;0622199D;privé sous contrat;115.0;105.3;113.1;50.75020814136252,2.2612089130209445;Lycée polyvalent privé Saint Denis;Lille;062;Pas-de-Calais;62765;Saint-Omer
2023-2024;0620095S;public;92.2;78.3;88.1;50.431142602253566,2.947469312306459;Lycée Polyvalent Louis Pasteur;Lille;062;Pas-de-Calais;62427;Hénin-Beaumont
2023-2024;0590111A;public;;76.8;76.8;50.6490983316144,2.9965333782839103;Lycée professionnel Sonia Delaunay;Lille;059;Nord;59350;Lille
2023-2024;0590216P;public;;89.7;89.7;50.721811278733774,3.172310463550062;Lycée professionnel Le Corbusier;Lille;059;Nord;59599;Tourcoing
2023-2024;0592926K;privé sous contrat;132.2;;132.2;50.68744864419935,2.8757305136906353;Lycée général et technologique privé Saint Jude;Lille;059;Nord;59017;Armentières
2023-2024;0590117G;public;118.0;;118.0;50.642779647074164,3.0701394574229663;Lycée général et technologique Louis Pasteur;Lille;059;Nord;59350;Lille
2023-2024;0592965C;privé sous contrat;108.8;93.8;104.4;50.7208193236069,3.1505106777928478;Lycée Polyvalent privé EIC Industriel et Commercial;Lille;059;Nord;59599;Tourcoing
2023-2024;0623377J;public;;76.1;76.1;50.426571126264996,2.754349782292512;Lycée professionnel du bâtiment François Hennebique;Lille;062;Pas-de-Calais;62510;Liévin
2023-2024;0593225K;privé sous contrat;151.3;;151.3;50.680199461427016,3.1072494509742614;Lycée privé de Marcq;Lille;059;Nord;59378;Marcq-en-Baroeul
2023-2024;0590249A;public;;77.6;77.6;50.67257580871957,3.1259399453159507;Lycée professionnel Jacques-Yves Cousteau;Lille;059;Nord;59646;Wasquehal
2023-2024;0623915U;public;109.0;;109.0;50.488411414449956,2.8546904110900857;Lycée général et technologique Voltaire;Lille;062;Pas-de-Calais;62895;Wingles
2023-2024;0590112B;public;103.1;;103.1;50.12312470391326,3.68562043758952;Lycée général et technologique Dupleix;Lille;059;Nord;59331;Landrecies
2023-2024;0620109G;public;86.5;;86.5;50.44531044537245,2.824519890184113;Lycée général et technologique Auguste Béhal;Lille;062;Pas-de-Calais;62498;Lens
2023-2024;0594278E;privé sous contrat;118.9;;118.9;51.02626133589449,2.3721400076836052;Lycée technologique privé EPID;Lille;059;Nord;59183;Dunkerque
2023-2024;0592921E;privé sous contrat;101.2;;101.2;50.69421574675568,3.181114656257771;Lycée général et technologique privé Saint Rémi;Lille;059;Nord;59512;Roubaix
2023-2024;0590189K;public;;71.6;71.6;50.69490416584315,3.1846702934946864;Lycée professionnel Lavoisier;Lille;059;Nord;59512;Roubaix
2023-2024;0592966D;privé sous contrat;104.7;97.8;99.7;50.72117528777827,3.1499901566502215;Lycée polyvalent privé EIC Jehanne d'Arc;Lille;059;Nord;59599;Tourcoing
2023-2024;0595918M;privé sous contrat;;105.2;105.2;51.02622097738699,2.3721405165500014;Lycée professionnel privé EPID - Lycée des Métiers des Industries et des innovations technologiques;Lille;059;Nord;59183;Dunkerque
2023-2024;0622803K;public;105.2;;105.2;50.73867971356185,2.2561397443597024;Lycée général et technologique Blaise Pascal;Lille;062;Pas-de-Calais;62525;Longuenesse
2023-2024;0620190V;public;;79.5;79.5;50.41145260085608,2.770584761939664;Lycée professionnel Henri Darras - Lycée des métiers de la chaudronnerie industrielle;Lille;062;Pas-de-Calais;62510;Liévin
2023-2024;0622198C;privé sous contrat;108.6;96.3;104.1;50.73618725781127,1.6233795340665553;Lycée polyvalent privé et Campus St Joseph - Lycée des Métiers Energies,Numérique et Automation - Management,Gestion,Communication - Santé,Social;Lille;062;Pas-de-Calais;62758;Saint-Martin-Boulogne
2023-2024;0594375K;public;;79.7;79.7;50.63913094142387,3.1342400756179085;Lycée professionnel Dinah Derycke;Lille;059;Nord;59009;Villeneuve-d'Ascq
2023-2024;0592929N;privé sous contrat;114.9;;114.9;50.122452447452424,3.933050076860702;Lycée général et technologique privé Sainte Thérèse;Lille;059;Nord;59036;Avesnes-sur-Helpe
2023-2024;0590035T;public;109.0;;109.0;50.175870780915,3.228199657567074;Lycée général et technologique Fénelon;Lille;059;Nord;59122;Cambrai
2023-2024;0590217R;public;;76.6;76.6;50.73139961025742,3.1631904121695897;Lycée professionnel Sévigné - Lycée des Métiers;Lille;059;Nord;59599;Tourcoing
